,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
5960,5960,5961,https://lancersagent.com/project/marketer/0061637217710525314a7f736,"【週3日･4日･5日/マーケター】                                【マーケター】WEBマーケティング企業でのリスティング広告運用                            週3日･4日･5日 | 400,000〜700,000円 / 月マーケター週3日･4日･5日赤坂・永田町（溜池山王）【案件概要】現在、クライアントからの広告運用業務の受注が増えており、運用チームで稼働いただけるマーケターを募集しております。まだまだ小さい会社のため、チーム組成やフローの改善など率先して行っていただける方を歓迎しております。詳細を見る",マーケター,,週3日･4日･5日,赤坂・永田町（溜池山王）,                【マーケター】WEBマーケティング企業でのリスティング広告運用 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061637217710525314a7f736,"【案件概要】
現在、クライアントからの広告運用業務の受注が増えており、運用チームで稼働いただける
マーケターを募集しております。
まだまだ小さい会社のため、チーム組成やフローの改善など率先して行っていただける方を歓迎しております。
/マーケター/リスティング/赤坂・永田町",【週3日･4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"400,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週3日･4日･5日,赤坂・永田町（溜池山王）,【案件概要】現在、クライアントからの広告運用業務の受注が増えており、運用チームで稼働いただけるマーケターを募集しております。まだまだ小さい会社のため、チーム組成やフローの改善など率先して行っていただける方を歓迎しております。,マーケター,,・リスティング広告運用のご経験,・toBでの広告運用経験・運用フローの設計や改善のご経験,"週3日･4日･5日                            
(ﾘﾓｰﾄ：一部可)","400,000〜700,000円",赤坂・永田町（溜池山王）,業務委託,※参考報酬は週5日でご稼働いただいた場合の金額です。,案件ID：000006099596,
6017,6017,6018,https://lancersagent.com/project/marketer/00616370598347635e80129a,"注目【週4日･5日/WEBマーケター(デジタルマーケティング)】                                【マーケター】国内最大級の金融メディアにおけるデジタルマーケティング業務                            週4日･5日 | 500,000〜580,000円 / 月WEBマーケター(デジタルマーケティング)週4日･5日渋谷・新宿（池尻大橋駅）弊社のプラットフォームコンサルティング事業本部またはメディアプラットフォーム事業本部にて、デジタルマーケティング運用をご担当いただきます。配属部署は、ご本人の希望を参考に、スキルに応じて決定させていただきます。詳細を見る",WEBマーケター(デジタルマーケティング),,週4日･5日,渋谷・新宿（池尻大橋駅）,                【マーケター】国内最大級の金融メディアにおけるデジタルマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616370598347635e80129a,"弊社のプラットフォームコンサルティング事業本部またはメディアプラットフォーム事業本部にて、デジタルマーケティング運用をご担当いただきます。

配属部署は、ご本人の希望を参考に、スキルに応じて決定させていただきます。/マーケター/その他/渋谷・新宿",【週4日･5日/】,【マーケター】国内最大級の金融メディアにおけるデジタルマーケティング業務,"500,000〜580,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBマーケター(デジタルマーケティング),,週4日･5日,渋谷・新宿（池尻大橋駅）,弊社のプラットフォームコンサルティング事業本部またはメディアプラットフォーム事業本部にて、デジタルマーケティング運用をご担当いただきます。配属部署は、ご本人の希望を参考に、スキルに応じて決定させていただきます。,WEBマーケター(デジタルマーケティング),,【①と②のポジション共通】・コミュニケーションが円滑な方・ユーザーおよびクライアントファーストで考えられる方・Excelまたはスプレッドシートでの集計表作成・データ管理のご経験がある方ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー【ポジション①】プラットフォームコンサルティング事業本部でのご稼働の場合・SNS広告運用のご経験ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー【ポジション②】メディアプラットフォーム事業本部でのご稼働の場合・SmartNewsやyahooニュースのポータルサイトからのトラフィック獲得経験がある方,・メールマーケティングの実務経験・SEOマーケティングの実務経験,"週4日･5日                            
(ﾘﾓｰﾄ：一部可)","500,000〜580,000円",渋谷・新宿（池尻大橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099553,
6018,6018,6019,https://lancersagent.com/project/marketer/0060I00000dtJJjQAM,"【週4日･5日/WEBアナリスト】                                【分析・マーケター】ECサイト改善を担うWEBアナリスト                            週4日･5日 | 400,000〜450,000円 / 月WEBアナリスト週4日･5日渋谷・新宿（新宿三丁目駅）GoogleAnalyticsを始めとした分析ツールを使い、クライアントのECサイトを分析・改善していただきます。ディレクターや、プロモーションのプランナースキルも兼ねている方、大歓迎です。詳細を見る",WEBアナリスト,,週4日･5日,渋谷・新宿（新宿三丁目駅）,                【分析・マーケター】ECサイト改善を担うWEBアナリスト | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0060I00000dtJJjQAM,"GoogleAnalyticsを始めとした分析ツールを使い、
クライアントのECサイトを分析・改善していただきます。

ディレクターや、プロモーションのプランナースキルも兼ねている方、大歓迎です。/マーケター/SEO/渋谷・新宿",【週4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"400,000〜450,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBアナリスト,,週4日･5日,渋谷・新宿（新宿三丁目駅）,GoogleAnalyticsを始めとした分析ツールを使い、クライアントのECサイトを分析・改善していただきます。ディレクターや、プロモーションのプランナースキルも兼ねている方、大歓迎です。,WEBアナリスト,,・GoogleAnalyticsを始めとした分析ツールを使うことができる方,・ディレクターや、プロモーションのプランナーのスキル,"週4日･5日                            
(ﾘﾓｰﾄ：一部可)","400,000〜450,000円",渋谷・新宿（新宿三丁目駅）,業務委託,"時短や稼働曜日の相談可能
※報酬額は【週5日（月20日）換算】した際の金額です",案件ID：000006098322,
6030,6030,6031,https://lancersagent.com/project/marketer/00616239134623358d546cb,"注目【週1日･2日/マーケター(SEO)】                                【マーケター】HRtechベンチャーでのマーケター                            週1日･2日 | 500,000〜700,000円 / 月マーケター(SEO)Google・Analytics・Google・Analytics週1日･2日五反田・恵比寿・六本木（虎ノ門駅）人材派遣業向けクラウド管理システム（SaaS）におけるマーケティング業務をご担当いただきます。サイト構造SEOの順位を上げるコンバージョンの改善やオウンドメディアの立ち上げ、自社サイトの改修をご担当いただける方を募集いたします。(業務詳細)・ツール設定やレポート抽出（GA・サーチコンソール・GTMの設定やレポート抽出・クロスドメインの設定など）上記を使用したレポートの作成と改善案の作成、スケジュール作成等のP詳細を見る",マーケター(SEO),Google・Analytics・Google・Analytics,週1日･2日,五反田・恵比寿・六本木（虎ノ門駅）,                【マーケター】HRtechベンチャーでのマーケター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616239134623358d546cb,"人材派遣業向けクラウド管理システム（SaaS）におけるマーケティング業務をご担当いただきます。

サイト構造SEOの順位を上げるコンバージョンの改善やオウンドメディアの立ち上げ、自社サイトの改修をご担当いただける方を募集いたします。

(業務詳細)
・ツール設定やレポート抽出
（GA・サーチコンソール・GTMの設定やレポート抽出・クロスドメインの設定など）
上記を使用したレポートの作成と改善案の作成、スケジュール作成等のP/マーケター/コンテンツマーケ/五反田・恵比寿・六本木",【週1日･2日/】,【マーケター】HRtechベンチャーでのマーケター,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター(SEO),,週1日･2日,五反田・恵比寿・六本木（虎ノ門駅）,人材派遣業向けクラウド管理システム（SaaS）におけるマーケティング業務をご担当いただきます。サイト構造SEOの順位を上げるコンバージョンの改善やオウンドメディアの立ち上げ、自社サイトの改修をご担当いただける方を募集いたします。(業務詳細)・ツール設定やレポート抽出（GA・サーチコンソール・GTMの設定やレポート抽出・クロスドメインの設定など）上記を使用したレポートの作成と改善案の作成、スケジュール作成等のP,マーケター(SEO),Google・Analytics・Google・Analytics,・依頼予定業務のご経験・業界特化のBtoBマーケティング経験・直近のSEO状況の知見・SEO対策記事のライティングやレビューの経験,・Vertical系のシステム（SaaSだと望ましい）のマーケティング経験・HRTech系の業界経験をお持ちの方,"週1日･2日                            
(ﾘﾓｰﾄ：可)","500,000〜700,000円",五反田・恵比寿・六本木（虎ノ門駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099139,
6042,6042,6043,https://lancersagent.com/project/marketer/00616365325064041e8018be,"注目【週1日･2日/マーケター(上流)】                                【マーケター】HRtechベンチャーでのマーケター業務（上流）                            週1日･2日 | 500,000〜700,000円 / 月マーケター(上流)週1日･2日五反田・恵比寿・六本木（虎ノ門駅）人材派遣業向けクラウド管理システム（SaaS）におけるマーケティング業務をご担当いただきます。Google、ヤフー、Facebookでの集客改善やTwitterやYoutube（GDN含む）の出稿を検討中です。(業務詳細)・各種管理画面の確認やレポート抽出、キーワードプランナーやオークション分析レポート等の作成・上記によるKW選定やテキスト修正・出稿金額の調整や戦略策定の壁打ち・LPO（LPが必要か否詳細を見る",マーケター(上流),,週1日･2日,五反田・恵比寿・六本木（虎ノ門駅）,                【マーケター】HRtechベンチャーでのマーケター業務（上流） | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616365325064041e8018be,"人材派遣業向けクラウド管理システム（SaaS）におけるマーケティング業務をご担当いただきます。

Google、ヤフー、Facebookでの集客改善やTwitterやYoutube（GDN含む）の出稿を検討中です。


(業務詳細)
・各種管理画面の確認やレポート抽出、キーワードプランナーやオークション分析レポート等の作成
・上記によるKW選定やテキスト修正
・出稿金額の調整や戦略策定の壁打ち
・LPO（LPが必要か否/マーケター/SEO/五反田・恵比寿・六本木",【週1日･2日/】,【マーケター】HRtechベンチャーでのマーケター業務（上流）,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター(上流),,週1日･2日,五反田・恵比寿・六本木（虎ノ門駅）,人材派遣業向けクラウド管理システム（SaaS）におけるマーケティング業務をご担当いただきます。Google、ヤフー、Facebookでの集客改善やTwitterやYoutube（GDN含む）の出稿を検討中です。(業務詳細)・各種管理画面の確認やレポート抽出、キーワードプランナーやオークション分析レポート等の作成・上記によるKW選定やテキスト修正・出稿金額の調整や戦略策定の壁打ち・LPO（LPが必要か否,マーケター(上流),,・依頼予定業務のご経験・業界特化のBtoBマーケティング経験・直近のwebマーケティングのアルゴリズムやツール・機能等の知見,・Vertical系のシステム（SaaSだと望ましい）のマーケティング経験・上記特にHRTech系の業界だと望ましい,"週1日･2日                            
(ﾘﾓｰﾄ：可)","500,000〜700,000円",五反田・恵比寿・六本木（虎ノ門駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099540,
6075,6075,6076,https://lancersagent.com/project/marketer/00616357615316005179bce7f,"注目【週3日･4日･5日/ブランディングマーケター】                                【ブランディングマーケター】電力小売企業でのプロモーション担当                            週3日･4日･5日 | 400,000円以上 / 月ブランディングマーケター週3日･4日･5日新橋・銀座・東京（上野、御徒町）再生可能エネルギーで急成長している企業おいて、電力販売事業を中心としたマーケティング担当を募集しております。入社後は、プロモーションの企画と実行などをお願いいたします詳細を見る",ブランディングマーケター,,週3日･4日･5日,新橋・銀座・東京（上野、御徒町）,                【ブランディングマーケター】電力小売企業でのプロモーション担当 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616357615316005179bce7f,再生可能エネルギーで急成長している企業おいて、電力販売事業を中心としたマーケティング担当を募集しております。入社後は、プロモーションの企画と実行などをお願いいたします/マーケター/ブランディング/新橋・銀座・東京,【週3日･4日･5日/】,【ブランディングマーケター】電力小売企業でのプロモーション担当,"400,000円以上/ 月※ 消費税別の実際にお渡しする金額です",ブランディングマーケター,,週3日･4日･5日,新橋・銀座・東京（上野、御徒町）,再生可能エネルギーで急成長している企業おいて、電力販売事業を中心としたマーケティング担当を募集しております。入社後は、プロモーションの企画と実行などをお願いいたします,ブランディングマーケター,,以下のような経験をお持ちの方（※いずれか一つ以上）デジタル領域におけるマーケティング業務経験デジタルを中心としたメディアプランニングの業務経験プロモーションクリエイティブ（TVCM/動画等）の開発ディレクション経験デジタルマーケティング領域のコンサルティング経験,-,"週3日･4日･5日                            
(ﾘﾓｰﾄ：一部可)","400,000円以上",新橋・銀座・東京（上野、御徒町）,業務委託,表記報酬に関しては、月20日稼働想定の報酬です。,案件ID：000006099502,
6153,6153,6154,https://lancersagent.com/project/marketer/006162079322638268d54b49,"【週3日･4日･5日/マーケター】                                【マーケター】ファンコミュニティ促進自社サービスのマーケティング業務                            週3日･4日･5日 | 600,000〜800,000円 / 月マーケター‐週3日･4日･5日五反田・恵比寿・六本木（目黒駅）弊社が運営しているTwitterを活用したファンコミュニティ促進自社サービスの営業企画、提案営業及びマーケティング業務をご担当いただきます【業務内容】・売上拡大のための営業戦略設計とゲーム業界以外のアポイント取り・必要に応じてWebマーケティングや広告/PRの実行詳細を見る",マーケター,‐,週3日･4日･5日,五反田・恵比寿・六本木（目黒駅）,                【マーケター】ファンコミュニティ促進自社サービスのマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006162079322638268d54b49,"弊社が運営しているTwitterを活用したファンコミュニティ促進自社サービスの営業企画、提案営業及びマーケティング業務をご担当いただきます

【業務内容】
・売上拡大のための営業戦略設計とゲーム業界以外のアポイント取り
・必要に応じてWebマーケティングや広告/PRの実行/マーケター/ブランディング/五反田・恵比寿・六本木",【週3日･4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週3日･4日･5日,五反田・恵比寿・六本木（目黒駅）,弊社が運営しているTwitterを活用したファンコミュニティ促進自社サービスの営業企画、提案営業及びマーケティング業務をご担当いただきます【業務内容】・売上拡大のための営業戦略設計とゲーム業界以外のアポイント取り・必要に応じてWebマーケティングや広告/PRの実行,マーケター,‐,・本質的な価値ベースで企画/エンタメ領域に顔が広く、知見が広い方,"・ゲーム業界以外におけるマーケティング経験・ゲーム業界以外における営業経験・エンタメ領域に知見がある方（etc,映画・音楽・漫画・アニメ）","週3日･4日･5日                            
(ﾘﾓｰﾄ：相談可)","600,000〜800,000円",五反田・恵比寿・六本木（目黒駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099068,
6182,6182,6183,https://lancersagent.com/project/marketer/0061627610872169314a812b3,定番【週2日･3日/コンテンツディレクター】                                【コンテンツディレクター】自社ツールのマーケティングに関わるコンテンツディレクター                            週2日･3日 | 2〜3万円 / 日コンテンツディレクター週2日･3日豊洲（新富町駅）自社スクレイピング代行ツールや自動化ツールなどのマーケティングチームの所属で、マーケティングに関わる制作物のデザインを担当していただきます。【業務イメージ】・ホワイトペーパー作成・お客様先の提案書作成・LP、サイトのラフ案、ワイヤーフレーム作成詳細を見る,コンテンツディレクター,,週2日･3日,豊洲（新富町駅）,                【コンテンツディレクター】自社ツールのマーケティングに関わるコンテンツディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061627610872169314a812b3,"自社スクレイピング代行ツールや自動化ツールなどのマーケティングチームの所属で、マーケティングに関わる制作物のデザインを担当していただきます。

【業務イメージ】
・ホワイトペーパー作成
・お客様先の提案書作成
・LP、サイトのラフ案、ワイヤーフレーム作成/マーケター/コンテンツマーケ/豊洲",【週2日･3日/】,【コンテンツディレクター】自社ツールのマーケティングに関わるコンテンツディレクター,2〜3万円/ 日※ 消費税別の実際にお渡しする金額です,コンテンツディレクター,,週2日･3日,豊洲（新富町駅）,自社スクレイピング代行ツールや自動化ツールなどのマーケティングチームの所属で、マーケティングに関わる制作物のデザインを担当していただきます。【業務イメージ】・ホワイトペーパー作成・お客様先の提案書作成・LP、サイトのラフ案、ワイヤーフレーム作成,コンテンツディレクター,,・マーケティング目線の思考がある方・コンテンツ制作のディレクション経験（LP、サイト、ホワイトペーパー等）・デザイン作業を依頼する前段階のワイヤーフレームが作れる方・社内向けの企画書、社外向けの提案書作成経験がある方,・スピード感がある方・決まっていない事も楽しめる方・BtoBマーケのご経験がある方,"週2日･3日                            
(ﾘﾓｰﾄ：一部可)",2〜3万円,豊洲（新富町駅）,業務委託,,案件ID：000006099221,
6192,6192,6193,https://lancersagent.com/project/marketer/00616328938035189179bd098,"注目【週5日/マーケター】                                【マーケター】アイドル系スマホゲームのファンマーケティング担当                            週5日 | 200,000〜1,000,000円 / 月マーケター週5日渋谷・新宿（目黒駅）ファンマーケティングは「どうすればお客様は喜んでもらえるか」を考えながらコミュニケーションプランを企画〜実施しています。＜業務の一例＞生放送など運営音楽LIVEの開催やコミックマーケットなど大型イベントへの参加カフェの実施やファンミーティングなどオフラインイベントの実施リアルイベントやSNSとの連動詳細を見る",マーケター,,週5日,渋谷・新宿（目黒駅）,                【マーケター】アイドル系スマホゲームのファンマーケティング担当 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616328938035189179bd098,"ファンマーケティングは「どうすればお客様は喜んでもらえるか」を考えながらコミュニケーションプランを企画〜実施しています。

＜業務の一例＞
生放送など運営
音楽LIVEの開催やコミックマーケットなど大型イベントへの参加
カフェの実施やファンミーティングなどオフラインイベントの実施
リアルイベントやSNSとの連動/マーケター/ブランディング/渋谷・新宿",【週5日/】,【マーケター】アイドル系スマホゲームのファンマーケティング担当,"200,000〜1,000,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週5日,渋谷・新宿（目黒駅）,ファンマーケティングは「どうすればお客様は喜んでもらえるか」を考えながらコミュニケーションプランを企画〜実施しています。＜業務の一例＞生放送など運営音楽LIVEの開催やコミックマーケットなど大型イベントへの参加カフェの実施やファンミーティングなどオフラインイベントの実施リアルイベントやSNSとの連動,マーケター,,・コミュニティマネージメント企画経験がある(リアルイベント設営、オウンドメディア運営など)・SNS運用などのユーザーコミュニケーション業務経験がある・マーケティング施策においての具体的な成功経験がある,・一連のマーケティングサイクル（戦略立案→戦術実行→施策分析&レビュー）経験がある・市場調査や、消費者インタビュー等のリサーチ業務がある・1〜5名のマネジメント経験がある,"週5日                            
(ﾘﾓｰﾄ：相談可)","200,000〜1,000,000円",渋谷・新宿（目黒駅）,業務委託,-,案件ID：000006099370,
6222,6222,6223,https://lancersagent.com/project/marketer/00616322929225528175f72e1,"定番【週4日･5日/マーケター】                                【マーケター】顧客ECサイトの売上拡大におけるデジタルマーケティング業務                            週4日･5日 | 400,000〜600,000円 / 月マーケター週4日･5日新橋・銀座・東京（有楽町駅）【会社概要】Eコマースを活用し、ブランドメーカーが直接消費者に販売する支援します。サービス提供範囲として、EC戦略から、マーケティング、UI・UX、カスタマーサービス・物流までを エンドツーエンドで提供しています。【業務内容】クライアントのECサイトの商品の売り上げがあがるようなデジタルマーケティングの施策立案、実装業務。詳細を見る",マーケター,,週4日･5日,新橋・銀座・東京（有楽町駅）,                【マーケター】顧客ECサイトの売上拡大におけるデジタルマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616322929225528175f72e1,"【会社概要】
Eコマースを活用し、ブランドメーカーが直接消費者に販売する支援します。サービス提供範囲として、EC戦略から、マーケティング、UI・UX、カスタマーサービス・物流までを エンドツーエンドで提供しています。

【業務内容】
クライアントのECサイトの商品の売り上げがあがるようなデジタルマーケティングの施策立案、実装業務。/マーケター/コンテンツマーケ/新橋・銀座・東京",【週4日･5日/】,【マーケター】顧客ECサイトの売上拡大におけるデジタルマーケティング業務,"400,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週4日･5日,新橋・銀座・東京（有楽町駅）,【会社概要】Eコマースを活用し、ブランドメーカーが直接消費者に販売する支援します。サービス提供範囲として、EC戦略から、マーケティング、UI・UX、カスタマーサービス・物流までを エンドツーエンドで提供しています。【業務内容】クライアントのECサイトの商品の売り上げがあがるようなデジタルマーケティングの施策立案、実装業務。,マーケター,,ECサイトのデジタルマーケティングの経験がある方,特になし,"週4日･5日                            
(ﾘﾓｰﾄ：可)","400,000〜600,000円",新橋・銀座・東京（有楽町駅）,業務委託,,案件ID：000006099356,
6243,6243,6244,https://lancersagent.com/project/marketer/0061631673006041514a810b0,【週4日･5日/マーケター（グロースハック）】                                【マーケター】新規のiOSアプリのマーケター、グロースハック                            週4日･5日 | 3〜4.5万円 / 日マーケター（グロースハック）週4日･5日渋谷・新宿（神田駅）当社は「誰もが最高の選択肢と出会える」情報を届ける、Webメディアを運営しています。ただの情報ではなく、・読めば結論が出る・新たな気づきに出会える・買い物がより楽しくなる…そんな価値が届けられメディアを目指し、読者の生活の質を向上させる記事を発信しています。現在開発中のiOSアプリのリリースを間近に控えており、ユーザーが自社アプリにハマる仕掛けを作っていただくアプリマーケター経験者を募集しています詳細を見る,マーケター（グロースハック）,,週4日･5日,渋谷・新宿（神田駅）,                【マーケター】新規のiOSアプリのマーケター、グロースハック | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061631673006041514a810b0,"当社は「誰もが最高の選択肢と出会える」情報を届ける、Webメディアを運営しています。

ただの情報ではなく、
・読めば結論が出る
・新たな気づきに出会える
・買い物がより楽しくなる
…そんな価値が届けられメディアを目指し、読者の生活の質を向上させる記事を発信しています。

現在開発中のiOSアプリのリリースを間近に控えており、
ユーザーが自社アプリにハマる仕掛けを作っていただく
アプリマーケター経験者を募集しています/マーケター/その他/渋谷・新宿",【週4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,3〜4.5万円/ 日※ 消費税別の実際にお渡しする金額です,マーケター（グロースハック）,,週4日･5日,渋谷・新宿（神田駅）,当社は「誰もが最高の選択肢と出会える」情報を届ける、Webメディアを運営しています。ただの情報ではなく、・読めば結論が出る・新たな気づきに出会える・買い物がより楽しくなる…そんな価値が届けられメディアを目指し、読者の生活の質を向上させる記事を発信しています。現在開発中のiOSアプリのリリースを間近に控えており、ユーザーが自社アプリにハマる仕掛けを作っていただくアプリマーケター経験者を募集しています,マーケター（グロースハック）,,・アプリマーケティングのご経験,・アプリのプロモーション企画のご経験・アプリ運用改善のご経験・グロースハッカーとして案件参画されたご経験,"週4日･5日                            
(ﾘﾓｰﾄ：可)",3〜4.5万円,渋谷・新宿（神田駅）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です。,案件ID：000006099335,
6294,6294,6295,https://lancersagent.com/project/marketer/00616303015960463175f9c97,定番【週3日･4日･5日/グローバルマーケター】                                【マーケター】WEBブラウザゲームバカラにおけるマーケティング/プロモーション業務                            週3日･4日･5日 | 3〜5万円 / 日グローバルマーケター週3日･4日･5日渋谷・新宿（上野毛駅）WEBブラウザゲームバカラにおけるグローバルマーケティング/プロモーション業務をお任せする方を募集致します。現状サービスが大きく拡大フェーズに突入しているため、是非ご協力いただけますと幸いです。詳細を見る,グローバルマーケター,,週3日･4日･5日,渋谷・新宿（上野毛駅）,                【マーケター】WEBブラウザゲームバカラにおけるマーケティング/プロモーション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616303015960463175f9c97,"WEBブラウザゲームバカラにおけるグローバルマーケティング/プロモーション業務をお任せする方を募集致します。
現状サービスが大きく拡大フェーズに突入しているため、是非ご協力いただけますと幸いです。
/マーケター/その他/渋谷・新宿",【週3日･4日･5日/】,【マーケター】WEBブラウザゲームバカラにおけるマーケティング/プロモーション業務,3〜5万円/ 日※ 消費税別の実際にお渡しする金額です,グローバルマーケター,,週3日･4日･5日,渋谷・新宿（上野毛駅）,WEBブラウザゲームバカラにおけるグローバルマーケティング/プロモーション業務をお任せする方を募集致します。現状サービスが大きく拡大フェーズに突入しているため、是非ご協力いただけますと幸いです。,グローバルマーケター,,・マーケティング/プロモーションの実務経験・英語でのコミュニケーションができる方,・ブロックチェーン、仮想通過のご経験や知見,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)",3〜5万円,渋谷・新宿（上野毛駅）,業務委託,※参考報酬は週5日稼働いただいた場合の金額です。,案件ID：000006099292,
6395,6395,6396,https://lancersagent.com/project/marketer/00616239006986547179bbe4b,"急募【週3日/マーケター】                                【マーケター】toB向け英会話商材のマーケティング担当（新規事業）                            週3日 | 300,000〜500,000円 / 月マーケター週3日渋谷・新宿（渋谷）サービス概要：ビジネス向け英語のスピーキング能力を計るサービス【業務詳細】以下、toB向けのマーケターとして行って頂きます。・マーケティング分析・マーケティング施策の立案・マーケティング部門や営業部門との会議出席と進捗報告・CRMツールのベンダーなどの協力会社の窓口担当詳細を見る",マーケター,,週3日,渋谷・新宿（渋谷）,                【マーケター】toB向け英会話商材のマーケティング担当（新規事業） | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616239006986547179bbe4b,"サービス概要：ビジネス向け英語のスピーキング能力を計るサービス

【業務詳細】
以下、toB向けのマーケターとして行って頂きます。
・マーケティング分析
・マーケティング施策の立案
・マーケティング部門や営業部門との会議出席と進捗報告
・CRMツールのベンダーなどの協力会社の窓口担当

/マーケター/その他/渋谷・新宿",【週3日/】,【マーケター】toB向け英会話商材のマーケティング担当（新規事業）,"300,000〜500,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週3日,渋谷・新宿（渋谷）,サービス概要：ビジネス向け英語のスピーキング能力を計るサービス【業務詳細】以下、toB向けのマーケターとして行って頂きます。・マーケティング分析・マーケティング施策の立案・マーケティング部門や営業部門との会議出席と進捗報告・CRMツールのベンダーなどの協力会社の窓口担当,マーケター,,・IT・教育業界などで法人向けのマーケティング経験のある方・CRMツール（hubspot）などを活用した経験のある方・社内関連部署や社外の関係者とプロジェクト進行の経験,・自身がプロジェクトオーナーや責任者として企画・運用・改善など一連の経験がある方,"週3日                            
(ﾘﾓｰﾄ：相談可)","300,000〜500,000円",渋谷・新宿（渋谷）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099137,
