,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
6418,6418,6419,https://lancersagent.com/project/director/0061625462496272314a7fca8,"注目【週5日/開発ディレクター（Webポータル）】                                【開発ディレクター】大手通信会社のWebポータルサイト開発ディレクション                            週5日 | 500,000〜700,000円 / 月開発ディレクター（Webポータル）週5日五反田・恵比寿・六本木（六本木一丁目駅）【業務概要】※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。今回は大手通信会社の提供サービス内で展開しているWebポータルサイトを中心とした開発・運営ディレクションが可能な人材をお探しさせていただいております。主な業務内容は下記となります。【業務内容】■業務内容・企画・開発案件のプロジェクトマネジメント　- スケジュール策定・管理　- タスク・進捗管理・開発ディレク詳細を見る",開発ディレクター（Webポータル）,,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,                【開発ディレクター】大手通信会社のWebポータルサイト開発ディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061625462496272314a7fca8,"【業務概要】
※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。

今回は大手通信会社の提供サービス内で展開しているWebポータルサイトを中心とした
開発・運営ディレクションが可能な人材をお探しさせていただいております。
主な業務内容は下記となります。

【業務内容】
■業務内容
・企画・開発案件のプロジェクトマネジメント
　- スケジュール策定・管理
　- タスク・進捗管理
・開発ディレク/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週5日/】,【開発ディレクター】大手通信会社のWebポータルサイト開発ディレクション,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",開発ディレクター（Webポータル）,,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,【業務概要】※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。今回は大手通信会社の提供サービス内で展開しているWebポータルサイトを中心とした開発・運営ディレクションが可能な人材をお探しさせていただいております。主な業務内容は下記となります。【業務内容】■業務内容・企画・開発案件のプロジェクトマネジメント- スケジュール策定・管理- タスク・進捗管理・開発ディレク,開発ディレクター（Webポータル）,,・Webサービス・アプリにおける要件定義、ディレクション、分析の経験（3年以上）・企画/設計意図を第三者に伝える事ができるドキュメンテーションの作成並びにコミュニケーションスキル（エンジニアとの会話が理解できる方・開発ディレクションの経験がある方）・プロジェクトマネジメントスキル(進行管理),・定量分析およびレポーティング（Google Analyrics利用）・プロジェクト収支管理・定量、定性設計、分析を用いユーザーの体験を可視化する業務経験・大規模サービスや課金サービスなどの開発・グロースに従事した経験・温和なコミュニケーションができると尚可,"週5日                            
(ﾘﾓｰﾄ：可)","500,000〜700,000円",五反田・恵比寿・六本木（六本木一丁目駅）,業務委託,就業時間：9時-18時前後,案件ID：000006099183,
6480,6480,6481,https://lancersagent.com/project/director/0060I00000gLaS2QAK,"【週3日･4日･5日/WEBディレクター（TD）】                                デジタルマーケティング企業での制作ディレクター                            週3日･4日･5日 | 500,000〜600,000円 / 月WEBディレクター（TD）週3日･4日･5日五反田・恵比寿・六本木（六本木一丁目駅）■業務内容・クリエイティブの与件／要件の理解、整理・企画、ラフ案作成・制作の進行管理／ディレクション・効果測定・改善提案※制作物：バナー（すべて内製）、LP（外部委託）、記事LP（外部委託）、動画（一部内製）■このポジションの魅力・制作の進行管理のみならず、制作物の効果測定・改善提案まで一貫して携わることができます・アカウントプランナー、コンサルタント、デザイナーとタッグを組んでチームで成果創出に向け詳細を見る",WEBディレクター（TD）,,週3日･4日･5日,五反田・恵比寿・六本木（六本木一丁目駅）,                デジタルマーケティング企業での制作ディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000gLaS2QAK,"■業務内容
・クリエイティブの与件／要件の理解、整理
・企画、ラフ案作成
・制作の進行管理／ディレクション
・効果測定・改善提案
※制作物：バナー（すべて内製）、LP（外部委託）、記事LP（外部委託）、動画（一部内製）

■このポジションの魅力
・制作の進行管理のみならず、制作物の効果測定・改善提案まで一貫して携わることができます
・アカウントプランナー、コンサルタント、デザイナーとタッグを組んでチームで成果創出に向け/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週3日･4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター（TD）,,週3日･4日･5日,五反田・恵比寿・六本木（六本木一丁目駅）,■業務内容・クリエイティブの与件／要件の理解、整理・企画、ラフ案作成・制作の進行管理／ディレクション・効果測定・改善提案※制作物：バナー（すべて内製）、LP（外部委託）、記事LP（外部委託）、動画（一部内製）■このポジションの魅力・制作の進行管理のみならず、制作物の効果測定・改善提案まで一貫して携わることができます・アカウントプランナー、コンサルタント、デザイナーとタッグを組んでチームで成果創出に向け,WEBディレクター（TD）,,・Web広告の制作ディレクションの実務経験（Web広告のLP・バナー等の制作に関する実務経験のある方）・広告配信を通したABテストによる仮説検証／グロースハック経験,・Excel・PowerPointで資料作成や数値集計・Googleアナリティクスなどの解析ツールの使用経験および、分析をもとにした改善企画立案・提案・企画・プランニングなどの上流工程のスキル,"週3日･4日･5日                            
(ﾘﾓｰﾄ：相談可)","500,000〜600,000円",五反田・恵比寿・六本木（六本木一丁目駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098584,
6484,6484,6485,https://lancersagent.com/project/director/00616226292868063f7cdb55,"注目【週4日･5日/WEBディレクター（編集業務メイン）】                                【WEBディレクター】大手スポーツポータルサイトの取材・編集・記事作成業務                            週4日･5日 | 700,000円以上 / 月WEBディレクター（編集業務メイン）HTML・CSS週4日･5日新橋・銀座・東京（新橋駅）大手クライアントのWebサイトに関するWebディレクション業務に携わっていただきます。編集業務をメインに幅広い業務をお任せします。詳細を見る",WEBディレクター（編集業務メイン）,HTML・CSS,週4日･5日,新橋・銀座・東京（新橋駅）,                【WEBディレクター】大手スポーツポータルサイトの取材・編集・記事作成業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616226292868063f7cdb55,"大手クライアントのWebサイトに関するWebディレクション業務に携わっていただきます。
編集業務をメインに幅広い業務をお任せします。/ディレクター/ディレクションのみ/新橋・銀座・東京",【週4日･5日/HTML・CSS】,【WEBディレクター】大手スポーツポータルサイトの取材・編集・記事作成業務,"700,000円以上/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター（編集業務メイン）,HTML・CSS,週4日･5日,新橋・銀座・東京（新橋駅）,大手クライアントのWebサイトに関するWebディレクション業務に携わっていただきます。編集業務をメインに幅広い業務をお任せします。,WEBディレクター（編集業務メイン）,HTML・CSS,・取材、記事作成、校正経験・Webサイトに関するディレクション、コンテンツ企画や提案経験・クライアントや協力企業、社内メンバーなどの折衝経験,・幅広いスポーツ競技に関する知識を持っている方もしくは、スポーツに対する興味関心が高く、常にアンテナを張っている方,"週4日･5日                            
(ﾘﾓｰﾄ：相談可)","700,000円以上",新橋・銀座・東京（新橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099109,
6505,6505,6506,https://lancersagent.com/project/director/0061621497764041f7ce4b2,"注目【週5日/開発ディレクター（サービスサイト）】                                【開発ディレクター】大手通信会社のサービスサイト開発ディレクション                            週5日 | 500,000〜700,000円 / 月開発ディレクター（サービスサイト）週5日五反田・恵比寿・六本木（六本木一丁目駅）【業務概要】※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。今回は大手通信会社の提供サービス内で展開している2サイトの開発・運営ディレクションが可能な人材をお探しさせていただいております。主な業務内容は下記となります。【業務内容】・スケジュール策定・管理・タスク・進捗管理・開発要件定義・各種ドキュメント作成・分析データからの改修オプション出し・エンジニアとの連携・外詳細を見る",開発ディレクター（サービスサイト）,,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,                【開発ディレクター】大手通信会社のサービスサイト開発ディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061621497764041f7ce4b2,"【業務概要】
※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。

今回は大手通信会社の提供サービス内で展開している2サイトの開発・運営ディレクションが可能な人材をお探しさせていただいております。主な業務内容は下記となります。

【業務内容】
・スケジュール策定・管理
・タスク・進捗管理
・開発要件定義
・各種ドキュメント作成
・分析データからの改修オプション出し
・エンジニアとの連携
・外/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週5日/】,【開発ディレクター】大手通信会社のサービスサイト開発ディレクション,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",開発ディレクター（サービスサイト）,,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,【業務概要】※詳細内容や固有名詞については面談時に先方担当者よりご説明いただきます。今回は大手通信会社の提供サービス内で展開している2サイトの開発・運営ディレクションが可能な人材をお探しさせていただいております。主な業務内容は下記となります。【業務内容】・スケジュール策定・管理・タスク・進捗管理・開発要件定義・各種ドキュメント作成・分析データからの改修オプション出し・エンジニアとの連携・外,開発ディレクター（サービスサイト）,,・良好なコミュニケーション・Webサービス・アプリにおける要件定義、ディレクション、分析の経験・企画/設計意図を第三者に伝える事ができるドキュメンテーションの作成※エンジニアとの会話が理解できる方・開発ディレクションの経験がある方・クリティカルパスを意識したプロジェクトマネジメントスキル（進行管理）,・定量分析およびレポーティング（Google Analyrics利用）・プロジェクト収支管理・定量、定性設計、分析を用いユーザーの体験を可視化する業務経験・大規模サービスや課金サービスなどの開発・グロースに従事した経験・コンテンツ産業の業界知見→エンタメ（音楽、映像、ゲーム、xR）→ライフスタイル（ショッピング、グルメ、クーポン/ポイント、ヘルスケア、ファミリー）,"週5日                            
(ﾘﾓｰﾄ：可)","500,000〜700,000円",五反田・恵比寿・六本木（六本木一丁目駅）,業務委託,就業時間：9時-18時前後,案件ID：000006099085,
6506,6506,6507,https://lancersagent.com/project/director/00616214984374448f7ce776,"定番【週5日/運用ディレクター（LP）】                                【運用ディレクター】大手通信会社のLP運用ディレクション                            週5日 | 500,000〜700,000円 / 月運用ディレクター（LP）週5日五反田・恵比寿・六本木（六本木一丁目駅）【業務概要】今回は大手通信会社の提供サービス内で展開しているコンテンツ運用ディレクションが可能な人材をお探しさせていただいております。特にLP運用がメイン業務と想定している為、こちらを得意とされていると業務へスムーズに参画可能かと考えております。【業務内容】・LP運用・スケジュール策定・管理・タスク・進捗管理・開発要件定義・分析データからの改修オプション出し・エンジニアとの連携詳細を見る",運用ディレクター（LP）,,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,                【運用ディレクター】大手通信会社のLP運用ディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616214984374448f7ce776,"【業務概要】
今回は大手通信会社の提供サービス内で展開しているコンテンツ運用ディレクションが可能な人材をお探しさせていただいております。
特にLP運用がメイン業務と想定している為、こちらを得意とされていると業務へスムーズに参画可能かと考えております。

【業務内容】
・LP運用
・スケジュール策定・管理
・タスク・進捗管理
・開発要件定義
・分析データからの改修オプション出し
・エンジニアとの連携

/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週5日/】,【運用ディレクター】大手通信会社のLP運用ディレクション,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",運用ディレクター（LP）,,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,【業務概要】今回は大手通信会社の提供サービス内で展開しているコンテンツ運用ディレクションが可能な人材をお探しさせていただいております。特にLP運用がメイン業務と想定している為、こちらを得意とされていると業務へスムーズに参画可能かと考えております。【業務内容】・LP運用・スケジュール策定・管理・タスク・進捗管理・開発要件定義・分析データからの改修オプション出し・エンジニアとの連携,運用ディレクター（LP）,,・良好なコミュニケーション・コンテンツ運用ディレクションの経・進捗管理、スケジュール策定、課題管理、品質管理経験あり・会議のアジェンダ作成、ファシリテーション経験あり・GAに関する基礎知識,・マネジメントスキル（チームレベル）・動画関連案件の経験あり,"週5日                            
(ﾘﾓｰﾄ：可)","500,000〜700,000円",五反田・恵比寿・六本木（六本木一丁目駅）,業務委託,就業時間：9時-18時前後,案件ID：000006099086,
6518,6518,6519,https://lancersagent.com/project/director/0061620873273768314a7ca58,"【週3日･4日･5日/WEBディレクター】                                【マーケター】男性向けクリニックへのマーケティング/データ解析に基づく企画、提案業務                            週3日･4日･5日 | 500,000〜700,000円 / 月WEBディレクター週3日･4日･5日関西：大阪・京都・神戸（-）弊社は「事業創造」を通じて、世の中をより面白く、そして、強くしていくことを追求しています。<事業内容>・インターネット広告代理店事業・コンサルティング事業・アライアンス事業の3つを展開しております。会社としてインターネット広告代理店事業とコンサルティング事業、主に事業強化（マーケティング）と組織強化（マネジメント）の領域で企業様にお力添えをするサービスを展開しております。本案件は既存クライアン詳細を見る",WEBディレクター,,週3日･4日･5日,関西：大阪・京都・神戸（-）,                【マーケター】男性向けクリニックへのマーケティング/データ解析に基づく企画、提案業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061620873273768314a7ca58,"弊社は「事業創造」を通じて、世の中をより面白く、
そして、強くしていくことを追求しています。

&lt;事業内容&gt;
・インターネット広告代理店事業
・コンサルティング事業
・アライアンス事業
の3つを展開しております。

会社としてインターネット広告代理店事業とコンサルティング事業、主に事業強化（マーケティング）と組織強化（マネジメント）の領域で企業様にお力添えをするサービスを展開しております。

本案件は既存クライアン/ディレクター/ディレクションのみ/関西：大阪・京都・神戸",【週3日･4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,,週3日･4日･5日,関西：大阪・京都・神戸（-）,弊社は「事業創造」を通じて、世の中をより面白く、そして、強くしていくことを追求しています。<事業内容>・インターネット広告代理店事業・コンサルティング事業・アライアンス事業の3つを展開しております。会社としてインターネット広告代理店事業とコンサルティング事業、主に事業強化（マーケティング）と組織強化（マネジメント）の領域で企業様にお力添えをするサービスを展開しております。本案件は既存クライアン,WEBディレクター,,・WEBサイトの運用案件などのディレクション経験のある方・チームメンバーとのコミュニケーションが円滑に取れる方・,・医療系の案件を経験したことがある方,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","500,000〜700,000円",関西：大阪・京都・神戸（-）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です。,案件ID：000006099069,
6520,6520,6521,https://lancersagent.com/project/director/00616209600382502f7cdecb,"注目【週5日/WEBディレクター】                                【WEBディレクター】コンテンツサイト開発・運営ディレクション                            週5日 | 500,000〜700,000円 / 月WEBディレクターHTML・CSS週5日五反田・恵比寿・六本木（六本木一丁目駅）弊社クライアントサービスサイトの運営改善・システム保守に関するサービス・プロダクトのディレクションを担当していただきます。詳細を見る",WEBディレクター,HTML・CSS,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,                【WEBディレクター】コンテンツサイト開発・運営ディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616209600382502f7cdecb,"弊社クライアントサービスサイトの運営改善・システム保守に関するサービス・プロダクトのディレクションを担当していただきます。
/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週5日/HTML・CSS】,【WEBディレクター】コンテンツサイト開発・運営ディレクション,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,HTML・CSS,週5日,五反田・恵比寿・六本木（六本木一丁目駅）,弊社クライアントサービスサイトの運営改善・システム保守に関するサービス・プロダクトのディレクションを担当していただきます。,WEBディレクター,HTML・CSS,・Webサービスにおけるディレクションの経験（1年以上）・プロジェクトマネジメントスキル(タスク管理・進行管理),・ベンダーコントロール・プロジェクト収支管理・大規模システムの開発ディレクション経験,"週5日                            
(ﾘﾓｰﾄ：相談可)","500,000〜700,000円",五反田・恵比寿・六本木（六本木一丁目駅）,業務委託,HTML・CSS・Javasprictへの知見があると参画しやすいです,案件ID：000006099076,
6541,6541,6542,https://lancersagent.com/project/director/0061619165247718614a7ce02,"注目【週4日･5日/WEBディレクター】                                【ディレクター】携帯キャリア向けスマホコンテンツ制作のデザイン/ディレクション業務                            週4日･5日 | 400,000〜600,000円 / 月WEBディレクターHTML・CSS・illustrator・Photoshop週4日･5日渋谷・新宿（恵比寿駅）スマートフォンアプリやWEBサービスを運営する会社です。ビジネスの柱は「コンテンツ事業」と「アライアンス事業」となっております。<作業内容>・制作進行・スケジュール管理・制作リソース、制作コストの管理（外注含む）・コンテンツグループとの連携・コミュニケーション主導詳細を見る",WEBディレクター,HTML・CSS・illustrator・Photoshop,週4日･5日,渋谷・新宿（恵比寿駅）,                【ディレクター】携帯キャリア向けスマホコンテンツ制作のデザイン/ディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061619165247718614a7ce02,"スマートフォンアプリやWEBサービスを運営する会社です。
ビジネスの柱は「コンテンツ事業」と「アライアンス事業」となっております。

&lt;作業内容&gt;
・制作進行
・スケジュール管理
・制作リソース、制作コストの管理（外注含む）
・コンテンツグループとの連携
・コミュニケーション主導/ディレクター/その他/渋谷・新宿",【週4日･5日/HTML・CSS】,【ディレクター】携帯キャリア向けスマホコンテンツ制作のデザイン/ディレクション業務,"400,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,HTML・CSS,週4日･5日,渋谷・新宿（恵比寿駅）,スマートフォンアプリやWEBサービスを運営する会社です。ビジネスの柱は「コンテンツ事業」と「アライアンス事業」となっております。<作業内容>・制作進行・スケジュール管理・制作リソース、制作コストの管理（外注含む）・コンテンツグループとの連携・コミュニケーション主導,WEBディレクター,HTML・CSS・illustrator・Photoshop,"・photoshop、 Illustratorの業務経験（依頼した内容に合わせて、自由に制作が可能なレベル）・HTML5、CSSの基礎知識（それ以上使いこなせたらなお可）＜キャリア＞・広告バナー、キャラクターIPを活用したスタンプ等、デジタルコンテンツの制作ディレクション経験・ui,ux 制作ディレクション経験・webデザイン経験・コンテンツ監修 / 管理経験・デザイン制作進行、リソース管理経験",・adobe animateの業務経験・adobe XD、sketch の業務経験,"週4日･5日                            
(ﾘﾓｰﾄ：相談可)","400,000〜600,000円",渋谷・新宿（恵比寿駅）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です。,案件ID：000006099042,
6550,6550,6551,https://lancersagent.com/project/director/0061618894612663415e56033,"定番【週5日/【ディレクター】新規システム立ち上げにおけるWebディレクター】                                【ディレクター】新規システム立ち上げにおけるWebディレクター                            週5日 | 500,000〜800,000円 / 月【ディレクター】新規システム立ち上げにおけるWebディレクター₋週5日渋谷・新宿（虎ノ門/神谷町/六本木一丁目）【業務詳細】・チーム内のディレクション・エンドクライアントや社内各事業部との折衝・ワイヤーフレームの作成・ユーザービリティの精査その他業務内容については面談時に詳細お伝えできればと思います。詳細を見る",【ディレクター】新規システム立ち上げにおけるWebディレクター,₋,週5日,渋谷・新宿（虎ノ門/神谷町/六本木一丁目）,                【ディレクター】新規システム立ち上げにおけるWebディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061618894612663415e56033,"【業務詳細】
・チーム内のディレクション
・エンドクライアントや社内各事業部との折衝
・ワイヤーフレームの作成
・ユーザービリティの精査
その他業務内容については面談時に詳細お伝えできればと思います。/ディレクター/ディレクションのみ/渋谷・新宿",【週5日/】,【ディレクター】新規システム立ち上げにおけるWebディレクター,"500,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",【ディレクター】新規システム立ち上げにおけるWebディレクター,,週5日,渋谷・新宿（虎ノ門/神谷町/六本木一丁目）,【業務詳細】・チーム内のディレクション・エンドクライアントや社内各事業部との折衝・ワイヤーフレームの作成・ユーザービリティの精査その他業務内容については面談時に詳細お伝えできればと思います。,【ディレクター】新規システム立ち上げにおけるWebディレクター,₋,・30名ほどののディレクション経験・ワイヤーフレームの作成経験・社外の方との折衝経験,・新システムの立ち上げ経験・システム開発における知見,"週5日                            
(ﾘﾓｰﾄ：一部可)","500,000〜800,000円",渋谷・新宿（虎ノ門/神谷町/六本木一丁目）,業務委託,,案件ID：000006099034,
6552,6552,6553,https://lancersagent.com/project/director/0061618806141337914a7f746,"注目【週3日･4日･5日/WEBディレクター、デザイナー】                                【ディレクター】アフィリエイト広告の記事LPにおけるデザイン及びディレクション業務                            週3日･4日･5日 | 500,000〜600,000円 / 月WEBディレクター、デザイナーHTML・CSS週3日･4日･5日渋谷・新宿（渋谷駅）【案件概要】マーケティング事業部内の法人アフィリエイターチームの一員として、クライアント(法人・個人)から依頼されるアフィリエイト広告として記事LPのデザイン業務をメインに従事いただきます。※バナー/広告素材制作もお任せする可能性がございます。詳細を見る",WEBディレクター、デザイナー,HTML・CSS,週3日･4日･5日,渋谷・新宿（渋谷駅）,                【ディレクター】アフィリエイト広告の記事LPにおけるデザイン及びディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061618806141337914a7f746,"【案件概要】
マーケティング事業部内の法人アフィリエイターチームの一員として、クライアント(法人・個人)から依頼されるアフィリエイト広告として記事LPのデザイン業務をメインに従事いただきます。
※バナー/広告素材制作もお任せする可能性がございます。/ディレクター/その他/渋谷・新宿",【週3日･4日･5日/HTML・CSS】,【ディレクター】アフィリエイト広告の記事LPにおけるデザイン及びディレクション業務,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター、デザイナー,HTML・CSS,週3日･4日･5日,渋谷・新宿（渋谷駅）,【案件概要】マーケティング事業部内の法人アフィリエイターチームの一員として、クライアント(法人・個人)から依頼されるアフィリエイト広告として記事LPのデザイン業務をメインに従事いただきます。※バナー/広告素材制作もお任せする可能性がございます。,WEBディレクター、デザイナー,HTML・CSS,・LP/バナー制作経験のある方（ワイヤー等上流工程のみでも可）・広告に関連したWebデザイン業務経験ある方・Web制作におけるディレクション経験者,・ただ依頼された通りに制作するのではなく、自身で考え発案しながらよりよい制作に取り組める方・クライアントの意向や、各種レギュレーションを踏まえて制作に取り組める方・デジタルエージェンシーでの運用型LPの制作経験・広告コピーのライティングスキルなどもあれば尚可,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","500,000〜600,000円",渋谷・新宿（渋谷駅）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です。,案件ID：000006099032,
6564,6564,6565,https://lancersagent.com/project/director/006161777514132561216664c,"定番【週3日･4日･5日/WEBディレクター】                                【ディレクター】スポーツメディアの強化に向けたWebディレクター業務                            週3日･4日･5日 | 300,000〜400,000円 / 月WEBディレクター週3日･4日･5日新橋・銀座・東京（八丁堀駅）当社は、「スポーツ」に関して幅広く事業を展開し、スポーツの魅力を伝えてきた会社です。もともとは紙メディアが中心でしたが、世の中の変化に合わせ、Web、動画、SNSなどさまざまなカタチでの情報発信を強化してきました。▼運営事業・メディア事業・出版事業・ショップ事業・イベント事業・コミュニティ運営事業・フットサルコート運営事業・映像制作事業この度は当社が運営するWebメディアのディレクション・詳細を見る",WEBディレクター,,週3日･4日･5日,新橋・銀座・東京（八丁堀駅）,                【ディレクター】スポーツメディアの強化に向けたWebディレクター業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/006161777514132561216664c,"当社は、「スポーツ」に関して幅広く事業を展開し、スポーツの魅力を伝えてきた会社です。
もともとは紙メディアが中心でしたが、世の中の変化に合わせ、Web、動画、SNSなどさまざまなカタチでの情報発信を強化してきました。

▼運営事業
・メディア事業
・出版事業
・ショップ事業
・イベント事業
・コミュニティ運営事業
・フットサルコート運営事業
・映像制作事業

この度は当社が運営するWebメディアのディレクション・/ディレクター/ディレクションのみ/新橋・銀座・東京",【週3日･4日･5日/】,【ディレクター】スポーツメディアの強化に向けたWebディレクター業務,"300,000〜400,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,,週3日･4日･5日,新橋・銀座・東京（八丁堀駅）,当社は、「スポーツ」に関して幅広く事業を展開し、スポーツの魅力を伝えてきた会社です。もともとは紙メディアが中心でしたが、世の中の変化に合わせ、Web、動画、SNSなどさまざまなカタチでの情報発信を強化してきました。▼運営事業・メディア事業・出版事業・ショップ事業・イベント事業・コミュニティ運営事業・フットサルコート運営事業・映像制作事業この度は当社が運営するWebメディアのディレクション・,WEBディレクター,,・開発に関連するWebディレクターの実務経験をお持ちの方,・マーケティングの知見,"週3日･4日･5日                            
(ﾘﾓｰﾄ：一部可)","300,000〜400,000円",新橋・銀座・東京（八丁堀駅）,業務委託,,案件ID：000006099021,
6608,6608,6609,https://lancersagent.com/project/director/0061615273019234614a7f1ac,"注目【週3日･4日･5日/WEBディレクター】                                【WEBディレクター】Shopifyを使ったECサイト構築におけるディレクション業務                            週3日･4日･5日 | 500,000〜600,000円 / 月WEBディレクターHTML・CSS・JavaScript週3日･4日･5日品川（目黒駅）【案件内容】クライアントから請け負っているECサイト構築のディレクションを担当いただきます。業務内容としては以下を想定しています。- プロジェクトマネージメント（進行管理・スケジュールや素材整理など）- 指示出し（資料作成・各メンバーへの指示など）- チェック（原稿・デザイン・実装の確認など）- 改善（運用後のPDCAサイクルの推進など）- その他（クライアント・パートナーとのやりとりなど）詳細を見る",WEBディレクター,HTML・CSS・JavaScript,週3日･4日･5日,品川（目黒駅）,                【WEBディレクター】Shopifyを使ったECサイト構築におけるディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061615273019234614a7f1ac,"【案件内容】
クライアントから請け負っているECサイト構築のディレクションを担当いただきます。
業務内容としては以下を想定しています。
- プロジェクトマネージメント（進行管理・スケジュールや素材整理など）
- 指示出し（資料作成・各メンバーへの指示など）
- チェック（原稿・デザイン・実装の確認など）
- 改善（運用後のPDCAサイクルの推進など）
- その他（クライアント・パートナーとのやりとりなど）/ディレクター/ディレクションのみ/品川",【週3日･4日･5日/HTML・CSS・JavaScript】,【WEBディレクター】Shopifyを使ったECサイト構築におけるディレクション業務,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,HTML・CSS・JavaScript,週3日･4日･5日,品川（目黒駅）,【案件内容】クライアントから請け負っているECサイト構築のディレクションを担当いただきます。業務内容としては以下を想定しています。- プロジェクトマネージメント（進行管理・スケジュールや素材整理など）- 指示出し（資料作成・各メンバーへの指示など）- チェック（原稿・デザイン・実装の確認など）- 改善（運用後のPDCAサイクルの推進など）- その他（クライアント・パートナーとのやりとりなど）,WEBディレクター,HTML・CSS・JavaScript,・Webサイト制作・運用におけるディレクション実務経験・HTML、JavaScript、CSSなど、Web構築に関する基本的な知識・EC構築のディレクション経験,・Shopifyを使ったECサイトの構築の知見,"週3日･4日･5日                            
(ﾘﾓｰﾄ：相談可)","500,000〜600,000円",品川（目黒駅）,業務委託,※参考報酬は週5日稼働いただいた場合の金額です。,案件ID：000006098971,
